Text,Sentiment,Tokenized,Tokenized_removed_sw
یہ تو ہونا ہی تھا  اور مانگو بزدل فوج سے رسیدیں,1,"['یہ', 'تو', 'ہونا', 'ہی', 'تھا', 'اور', 'مانگو', 'بزدل', 'فوج', 'سے', 'رسیدیں']","['ہونا', 'تھا', 'مانگو', 'بزدل', 'فوج', 'سے', 'رسیدیں']"
فوج اور کمانڈرز کا کام ہیں عوام کا حفاظت کرنا نہ کہ صرف تھرٹ جاری کرنا یہ واقعہ سے زیادہ اہم ہے دیکھتے کہ آب نیشنل ایکشن فلان کیا کر تا ہے,1,"['فوج', 'اور', 'کمانڈرز', 'کا', 'کام', 'ہیں', 'عوام', 'کا', 'حفاظت', 'کرنا', 'نہ', 'کہ', 'صرف', 'تھرٹ', 'جاری', 'کرنا', 'یہ', 'واقعہ', 'سے', 'زیادہ', 'اہم', 'ہے', 'دیکھتے', 'کہ', 'آب', 'نیشنل', 'ایکشن', 'فلان', 'کیا', 'کر', 'تا', 'ہے']","['فوج', 'کمانڈرز', 'کا', 'کام', 'عوام', 'کا', 'حفاظت', 'کرنا', 'نہ', 'صرف', 'تھرٹ', 'جاری', 'کرنا', 'واقعہ', 'سے', 'زیادہ', 'اہم', 'دیکھتے', 'آب', 'نیشنل', 'ایکشن', 'فلان', 'کیا', 'کر', 'تا']"
کچھ مثبت باتیں کریں پاکستان کے حق میں نظر آنے کے لیے دشمن ایجنٹوں کی ہاں میں ہاں نہ ملائیں اپنی فوج کی ہمت بڑ ھائیں,0,"['کچھ', 'مثبت', 'باتیں', 'کریں', 'پاکستان', 'کے', 'حق', 'میں', 'نظر', 'آنے', 'کے', 'لیے', 'دشمن', 'ایجنٹوں', 'کی', 'ہاں', 'میں', 'ہاں', 'نہ', 'ملائیں', 'اپنی', 'فوج', 'کی', 'ہمت', 'بڑ', 'ھائیں']","['کچھ', 'مثبت', 'باتیں', 'پاکستان', 'حق', 'میں', 'نظر', 'آنے', 'لیے', 'دشمن', 'ایجنٹوں', 'ہاں', 'میں', 'ہاں', 'نہ', 'ملائیں', 'اپنی', 'فوج', 'ہمت', 'بڑ', 'ھائیں']"
فوج بھی اور کیا کر سکتی ہےہاں نغمہ بھی ریلیز کر سکتی ہے,1,"['فوج', 'بھی', 'اور', 'کیا', 'کر', 'سکتی', 'ہےہاں', 'نغمہ', 'بھی', 'ریلیز', 'کر', 'سکتی', 'ہے']","['فوج', 'بھی', 'کیا', 'کر', 'سکتی', 'ہےہاں', 'نغمہ', 'بھی', 'ریلیز', 'کر', 'سکتی']"
اور مانگو فوج سے رسیدیں,1,"['اور', 'مانگو', 'فوج', 'سے', 'رسیدیں']","['مانگو', 'فوج', 'سے', 'رسیدیں']"
جب تک فوج ہے ان کا باپ بھی الگ نہیں کر سکتا پہلے بڑے بڑے سردار آئے اب تو زمانہ جدید ہو گیا اور مشکل ہے,0,"['جب', 'تک', 'فوج', 'ہے', 'ان', 'کا', 'باپ', 'بھی', 'الگ', 'نہیں', 'کر', 'سکتا', 'پہلے', 'بڑے', 'بڑے', 'سردار', 'آئے', 'اب', 'تو', 'زمانہ', 'جدید', 'ہو', 'گیا', 'اور', 'مشکل', 'ہے']","['جب', 'فوج', 'ان', 'کا', 'باپ', 'بھی', 'نہیں', 'کر', 'سکتا', 'پہلے', 'بڑے', 'بڑے', 'سردار', 'اب', 'زمانہ', 'جدید', 'گیا', 'مشکل']"
پہلے دہشت گردوں کو پالنے اور رہا کرنے والی فوج سے تو قانون پر عمل کروالو,1,"['پہلے', 'دہشت', 'گردوں', 'کو', 'پالنے', 'اور', 'رہا', 'کرنے', 'والی', 'فوج', 'سے', 'تو', 'قانون', 'پر', 'عمل', 'کروالو']","['پہلے', 'دہشت', 'گردوں', 'کو', 'پالنے', 'رہا', 'کرنے', 'والی', 'فوج', 'سے', 'قانون', 'عمل', 'کروالو']"
یہ حملے ہمیشہ سے فوج کرتی ہیں اور تمھارے جیسے دلال لوگوں کی قتل پر سیاست کرتے ہیں احسان اللہ احسان کو فوج نے رہا کیا یہ سب کچھ کروانے کیلئے,1,"['یہ', 'حملے', 'ہمیشہ', 'سے', 'فوج', 'کرتی', 'ہیں', 'اور', 'تمھارے', 'جیسے', 'دلال', 'لوگوں', 'کی', 'قتل', 'پر', 'سیاست', 'کرتے', 'ہیں', 'احسان', 'اللہ', 'احسان', 'کو', 'فوج', 'نے', 'رہا', 'کیا', 'یہ', 'سب', 'کچھ', 'کروانے', 'کیلئے']","['حملے', 'ہمیشہ', 'سے', 'فوج', 'تمھارے', 'جیسے', 'دلال', 'قتل', 'سیاست', 'احسان', 'اللہ', 'احسان', 'کو', 'فوج', 'نے', 'رہا', 'کیا', 'سب', 'کچھ', 'کروانے']"
یا اللہ پاکستان کی حفاظت فرمامیرے پاکستان کو غیر محفوظ کر نے والے کرداروں کو کیفر کدار تک پہنچا,0,"['یا', 'اللہ', 'پاکستان', 'کی', 'حفاظت', 'فرمامیرے', 'پاکستان', 'کو', 'غیر', 'محفوظ', 'کر', 'نے', 'والے', 'کرداروں', 'کو', 'کیفر', 'کدار', 'تک', 'پہنچا']","['یا', 'اللہ', 'پاکستان', 'حفاظت', 'فرمامیرے', 'پاکستان', 'کو', 'غیر', 'محفوظ', 'کر', 'نے', 'کرداروں', 'کو', 'کیفر', 'کدار', 'پہنچا']"
اتی کمزور فوج ہے کہ اپوزیشن کے بیانات سے کمر ٹوٹ گئی  ہمارے اداروں کو اگر فرصت ملے تو کام کریں,1,"['اتی', 'کمزور', 'فوج', 'ہے', 'کہ', 'اپوزیشن', 'کے', 'بیانات', 'سے', 'کمر', 'ٹوٹ', 'گئی', 'ہمارے', 'اداروں', 'کو', 'اگر', 'فرصت', 'ملے', 'تو', 'کام', 'کریں']","['اتی', 'کمزور', 'فوج', 'اپوزیشن', 'بیانات', 'سے', 'کمر', 'ٹوٹ', 'ہمارے', 'اداروں', 'کو', 'اگر', 'فرصت', 'ملے', 'کام']"
