,Sentiment,tokenized
0,0,"['میں', 'نے', 'ایٹم', 'بم', 'بنایا', 'ھے', 'او', 'بھائی', 'ایٹم', 'بمب', 'کوٹ', 'لکھپت', 'والی', 'اتفاق', 'فیکٹری', 'میں', 'نہیں', 'بنتاایٹم', 'بم', 'کہوٹہ', 'کی', 'ایٹمی']"
1,1,"['چندے', 'سے', 'انقلاب', 'اور', 'عمران', 'خان', 'وزیر', 'اعظم', 'نہیں', 'بن', 'سکتے']"
2,2,"['ٹویٹر', 'کا', 'خیال', 'کیسے', 'آیا']"
3,0,"['سرچ', 'انجن', 'گوگل', 'کے', 'نائب', 'صدر', 'نے', 'فضا', 'میں', 'فٹ', 'کی', 'بلندی', 'پر', 'چھلانگ', 'لگا', 'کر', 'عالمی', 'ریکارڈ', 'قائم', 'کرلیا', 'چھلانگ', 'کی']"
4,0,"['ابھی', 'تک', 'اسکی', 'لہریں', 'کبھی', 'کبھی', 'آ', 'جاتی', 'ہیں', 'یار', 'أ']"
5,1,"['گندی', 'زبان', 'اور', 'گٹر', 'جیسے', 'دماغ', 'والے', 'جاہل', 'جیالے', 'ہو', 'تم', 'جیالا', 'ہو', 'اور', 'جاہل', 'نہ', 'ہو', 'یہ', 'ممکن', 'نہیں']"
6,1,"['قاتل', 'بھی', 'تم', 'مقتول', 'بھی', 'تمظالم', 'بھی', 'ہم', 'اور', 'مظلوم', 'بھی', 'تم']"
7,0,"['نور', 'بغداد', 'کی', 'گلیوں', 'کا', 'ہے', 'ہر', 'ایک', 'کرن', 'اس', 'کی', 'مدینہ', 'سے', 'چلی', 'ہے']"
8,0,"['یہ', 'لفظوں', 'کی', 'شرارت', 'ھے', 'سنبہل', 'کر', 'کچھ', 'بہی', 'لکہنا', 'تم', 'محبت', 'لفظ', 'ھے', 'لیکن', 'یہ', 'اکثر', 'ہو', 'بہی', 'جاتی', 'ھے']"
9,0,"['سمارٹ', 'فون', 'کے', 'عادیوں', 'کے', 'لیے', 'ڈجٹل', 'ڈیٹاکس', 'کیپ', 'متعارف']"
10,0,"['وزیر', 'اعظم', 'کی', 'زیر', 'صدارت', 'پارلیمانی', 'رہنماؤں', 'کا', 'اجلاس']"
12,0,"['تیز', 'بارش', 'ہو', 'گھنا', 'پیڑ', 'ہو', 'اک', 'لڑکی', 'ہوایسے', 'منظر', 'کبھی', 'شہروں', 'میں', 'تو', 'پائے', 'نہ', 'گئے']"
13,0,"['لاہور', 'دھرنوں', 'کے', 'باعث', 'سیاسی', 'عدم', 'استحکام', 'تھا', 'اب', 'معاملہ', 'سنبھل', 'گیا', 'ہے', 'میاں', 'مجتبی']"
14,1,"['مؤرخ', 'لکھے', 'گاکہ', 'مملکت', 'خداد', 'پر', 'ایسا', 'کڑا', 'وقت', 'بھی', 'آیا', 'کہ', 'ایک', 'ڈی', 'جے', 'کو', 'پالنے', 'کیلیے', 'کسی', 'لیڈر', 'کو', 'چندہ', 'مانگناپڑ', 'گیاچندے', 'سے', 'انقلاب']"
15,1,"['مر', 'گئے', 'مردود', 'نہ', 'ڈیزل', 'نا', 'امرودنہ', 'سرمہ', 'سندور']"
16,0,"['اک', 'کھیل', 'نے', 'ہمارا', 'مقدر', 'بدل', 'دیا', 'وہ', 'تو', 'ہمیں', 'پکار', 'کر', 'ایسا', 'چھپا', 'کہ', 'زوبی']"
17,1,"['ابن', 'ڈیزل', 'ہواکرے', 'کوئی', 'میرے', 'درد', 'کی', 'دوا', 'کرے', 'کوئی']"
18,0,"['پی', 'ٹی', 'آئی', 'کا', 'استعفے', 'واپس', 'نہ', 'لینے', 'کا', 'اعلان']"
19,1,"['ایک', 'پنجرے', 'میں', 'چھ', 'طوطے', 'ایک', 'طوطی', 'کو', 'چھیڑ', 'رھے', 'تھے', 'جبکہ', 'دوسرے', 'پنجرے']"
20,1,"['باجوڑ', 'ایجنسی', 'میں', 'پولیو', 'ٹیم', 'پر', 'حملہ', 'دو', 'لیوی', 'اہلکار', 'زخمی']"
21,1,"['سہیل', 'بخاری', 'کا', 'کہنا', 'تھا', 'کہ', 'تعزیتی', 'ریفرنس', 'میں', 'یاسین', 'ملک', 'کے', 'قریبی', 'دوستوں', 'کی', 'شرکت', 'نہ', 'کرنے', 'پر', 'انہیں', 'بہت', 'افسوس', 'ہے']"
22,1,"['®', 'انقلابدھرناڈیلماڈل', 'ٹاؤن', 'میں', 'جاں', 'بحق', 'ہونے', 'والوں', 'کوخون', 'بہادینے', 'کے', 'علاوہ', 'قادری', 'کوعلیحدہ', 'سے', 'ستر', 'کروڑدینے', 'کابھی', 'یقین', 'دلایاگیارپورٹ']"
23,1,"['ایک', 'شرابی', 'کے', 'ہاں', 'ہر', 'وقت', 'شراب', 'کا', 'دور', 'رہتا', 'تھاایک', 'مرتبہ', 'اس', 'کے', 'دوست', 'احباب', 'جمع', 'تھے', 'شراب', 'تیار', 'تھی', 'اس', 'نے', 'اپنے', 'غلام']"
24,0,"['اگر', 'خیبر', 'پختونخوا', 'میں', 'کوئی', 'کام', 'ھوا', 'ھوتا', 'تو', 'پھر', 'عمران', 'کے', 'دھرنوں', 'کا', 'جواز', 'بن', 'سکتا', 'تھا']"
25,0,"['انشا', 'ءاللہ', 'بابے', 'دا', 'ڈیرہ', 'سے', 'تا', 'ریخی', 'قافلہ', 'گجرات', 'جلسہ', 'میں', 'شر', 'کت', 'کر', 'ے', 'گا', 'ملک', 'چاند', 'محبوب']"
26,1,"['ا', 'عمران', 'خان', 'کو', 'ان', 'دنوں', 'شیدے', 'کو', 'دور', 'بھگا', 'دینا', 'چاہیے', 'جب', 'اسکے', 'بیٹے', 'پاکستان', 'میں', 'ہوں', 'یہ', 'چھڑے', 'چھانٹ', 'اخلاقی', 'گراوٹ', 'کا', 'شکار', 'ہوتے', 'ہیں']"
27,0,"['فتح', 'حق', 'اورسچ', 'کی', 'ہوئیالطاف', 'حسین', 'کورابطہ', 'کمیٹی', 'کی', 'مبارکباد']"
28,0,"['انقلاب', 'کا', 'ایجنڈا', 'نہ', 'بدلا', 'ہے', 'نہ', 'بدلے', 'گا', 'کیئرٹیکر', 'حکومت', 'بھی', 'قومی', 'حکومت', 'بن', 'سکتی', 'ہے', 'مگر', 'مک', 'مکا', 'والی', 'حکومت', 'نہیں', 'چاھتے', 'طاہر', 'القادری']"
29,1,"['تحریک', 'انصاف', 'ضمنی', 'انتخابات', 'میں', 'حصہ', 'نہیں', 'لے', 'گیترجمان', 'شیریں', 'مزاری', 'جی', 'ہان', 'مگر', 'قبضہ', 'مافیا', 'اور', 'لوٹوں', 'کی', 'حمایت', 'ضرور', 'کرے', 'گی']"
30,0,"['تمام', 'مسلمانوں', 'کو', 'نیا', 'اسلامی', 'سال', 'مبارک', 'ہو']"
31,1,"['جو', 'برائی', 'کو', 'نہیں', 'پہچانتا', 'وہ', 'زیادہ', 'قریب', 'ھے', 'کہ', 'اس', 'میں', 'واقع', 'ھو', 'جائے', 'سیدنا', 'عمر', 'فاروق']"
32,0,"['جو', 'ھو', 'سکے', 'تو', 'تنہائیوں', 'میں', 'پڑھ', 'لینا', 'تمہارے', 'لئے', 'دل', 'کی', 'کتاب', 'لایا', 'ھوں']"
33,0,"['اصلی', 'صرف', 'طالبان', 'لشکر', 'جھنگوی', 'ہیں', 'اصلی', 'اور', 'خالص']"
34,0,"['وینا', 'ملک', 'کا', 'بیٹا', 'سوشل', 'میڈیا', 'پر', 'مقبولیت', 'میں', 'شلپا', 'شیٹھی', 'کے', 'بیٹے', 'سے', 'آگے', 'کراچی', 'وینا', 'ملک', 'کے', 'بیٹے', 'ابرام', 'خان']"
35,1,"['حکومتوں', 'سے', 'الگ', 'ہونے', 'کا', 'فیصلہ', 'حتمی', 'ہے', 'رہنما', 'ایم', 'کیوایم', 'فاروق', 'ستار']"
36,0,"['جس', 'کو', 'اللہ', 'کے', 'نبی', 'ﷺ', 'نے', 'شہادت', 'کی', 'خوشخبری', 'دیدی']"
37,0,"['اسلام', 'آباد', 'چیرمین', 'تحریک', 'انصاف', 'عمران', 'خان', 'کا', 'کہنا', 'ہے', 'کہ', 'محرم', 'الحرام', 'آنے', 'کے', 'باوجود', 'ہم', 'اسلام', 'آباد', 'سے', 'نہیں', 'جائیں', 'گے']"
38,0,"['ڈیزل', 'خان', 'نے', 'تمبو', 'میں', 'اکیلا', 'رہنے', 'کی', 'پیشن', 'گوئی', 'کر', 'دی', 'ناکام', 'ڈیزل', 'خان']"
39,1,"['اک', 'نئی', 'طرز', 'کا', 'کردار', 'دیا', 'جائے', 'گااس', 'کہانی', 'میں', 'مجھے', 'مار', 'دیا', 'جائے', 'گا']"
40,1,"['جس', 'قسم', 'گندے', 'الفاظ', 'فضلو', 'نے', 'دھرنے', 'کی', 'خواتین', 'کے', 'بارے', 'میں', 'استعمال', 'کئے', 'اس', 'پر', 'تمام', 'سیاسی', 'اور', 'مزھبی', 'جماعتوں', 'کو', 'انکا', 'بائکاٹ', 'کرنا', 'چاہئے']"
41,1,"['عالمی', 'استعمار', 'امریکا', 'و', 'اسرائیل', 'اورانکے', 'نمک', 'خوار', 'سعودی', 'عرب', 'کے', 'سینےمیں', 'خنجر', 'کی', 'مانند', 'ماہ', 'محرم', 'صفراور', 'ربیع', 'الاول']"
42,1,"['حق', 'پرست', 'رکن', 'سندھ', 'اسمبلی', 'سمیتا', 'افضال', 'کی', 'علالت', 'پر', 'جناب', 'کا', 'اظہار', 'تشویش']"
43,1,"['ایم', 'کیوایم', 'ڈسٹرکٹ', 'ملتان', 'کے', 'صدر', 'ذیشان', 'دلاور', 'قریشی', 'کی', 'والدہ', 'محترمہ', 'کے', 'انتقال', 'پر', 'رابطہ', 'کمیٹی', 'کااظہار', 'تعزیت']"
44,0,"['اتنا', 'کام', 'پڑا', 'ہے', 'اور', 'میں', 'کھیل', 'رہی', 'ہوں', 'اردو', 'کی', 'بورڈ', 'سے']"
45,1,"['محسن', 'طلوع', 'ماہ', 'محرم', 'کے', 'ساتھ', 'ہیہر', 'دل', 'مثال', 'شہر', 'خموشاں', 'اداس', 'ہے']"
46,0,"['جنوبی', 'پنجاب', 'کا', 'سارا', 'پیسہ', 'صرف', 'لاہور', 'پہ', 'لگتاہے', 'تب', 'کوئی', 'پٹواری', 'نئیں', 'کہتا', 'کہ', 'واقعی', 'انہیں', 'حق', 'دو', 'گجرات', 'یونیورسٹی', 'کا', 'دکھ', 'ہے']"
47,0,"['ایم', 'کیوایم', 'کے', 'قائد', 'الطاف', 'حسین', 'کی', 'تصنیف', 'فلسفہ', 'محبت', 'کے', 'انگریزی', 'ترجمہ', 'کی', 'تقریب', 'اجراء', 'اکتوبر', 'جمعہ', 'کی', 'شام', 'میریٹ', 'ہوٹل', 'میں', 'منعقد', 'ہوگی']"
48,0,"['کھیل', 'اور', 'نماز', 'الگ', 'الگ', 'ھیں', 'اپ', 'زرا', 'پڑھا', 'کریں', 'مینڈک', 'اچھے', 'نھیں', 'ھوتے']"
49,1,"['دبئی', 'پہلا', 'ٹیسٹ', 'آسٹریلیا', 'کے', 'خلاف', 'پاکستان', 'کی', 'دوسری', 'وکٹ', 'گرگئی']"
50,0,"['سردار', 'بنے', 'سے', 'پہلے', 'علم', 'حاصل', 'کرو', 'کہیں', 'ایسا', 'نہ', 'ہو', 'کہ', 'سرداری', 'کا', 'غرور', 'تمہیں', 'طلب', 'علم', 'سے', 'روک', 'دے', 'اور', 'تم', 'جاہل', 'بن', 'کر', 'زندگی', 'گذارو', 'سیدنا', 'عمر', 'فاروق']"
51,1,"['اور', 'دس', 'نارمل', 'فیصل', 'عابدییے', 'رحلت', 'فرماویں', 'تو', 'ایک', 'جعفر', 'پیدا', 'ہوتا', 'ہے']"
