Text,Sentiment,Tokenized,Tokenized_removed_sw
ان ججوں نے تاریخ سے کچھ نہیں سیکھا کب تک مہرے بن کر اپنی قبریں برباد کرتے رہو گے ایک دن اللہ کی عدالت لگے گی وہاں تو خود جواب دینا پڑے گا,0,"['ان', 'ججوں', 'نے', 'تاریخ', 'سے', 'کچھ', 'نہیں', 'سیکھا', 'کب', 'تک', 'مہرے', 'بن', 'کر', 'اپنی', 'قبریں', 'برباد', 'کرتے', 'رہو', 'گے', 'ایک', 'دن', 'اللہ', 'کی', 'عدالت', 'لگے', 'گی', 'وہاں', 'تو', 'خود', 'جواب', 'دینا', 'پڑے', 'گا']","['ان', 'ججوں', 'نے', 'تاریخ', 'سے', 'کچھ', 'نہیں', 'سیکھا', 'مہرے', 'بن', 'کر', 'اپنی', 'قبریں', 'برباد', 'رہو', 'دن', 'اللہ', 'عدالت', 'وہاں', 'خود', 'جواب', 'دینا', 'پڑے', 'گا']"
ان مہذب صحافیوں کے بارے میں کیا خیال ہے جو چور مجرم مفرور کے لئے عدالت چلے گئے پاکستان کی سیاست میں گند نواز لیگ کے انے کے بعد ہوا جن کے آپ لوگ پے رول پر ہو عوام پر نا سہی اپنی ہے نسلوں پر کچھ ترس کھا لو کے انکو اخلاقیات میں کیا دے کر جا رہے ہو,1,"['ان', 'مہذب', 'صحافیوں', 'کے', 'بارے', 'میں', 'کیا', 'خیال', 'ہے', 'جو', 'چور', 'مجرم', 'مفرور', 'کے', 'لئے', 'عدالت', 'چلے', 'گئے', 'پاکستان', 'کی', 'سیاست', 'میں', 'گند', 'نواز', 'لیگ', 'کے', 'انے', 'کے', 'بعد', 'ہوا', 'جن', 'کے', 'آپ', 'لوگ', 'پے', 'رول', 'پر', 'ہو', 'عوام', 'پر', 'نا', 'سہی', 'اپنی', 'ہے', 'نسلوں', 'پر', 'کچھ', 'ترس', 'کھا', 'لو', 'کے', 'انکو', 'اخلاقیات', 'میں', 'کیا', 'دے', 'کر', 'جا', 'رہے', 'ہو']","['ان', 'مہذب', 'صحافیوں', 'بارے', 'میں', 'کیا', 'خیال', 'جو', 'چور', 'مجرم', 'مفرور', 'عدالت', 'پاکستان', 'سیاست', 'میں', 'گند', 'نواز', 'لیگ', 'انے', 'بعد', 'جن', 'آپ', 'پے', 'رول', 'عوام', 'نا', 'سہی', 'اپنی', 'نسلوں', 'کچھ', 'ترس', 'کھا', 'انکو', 'اخلاقیات', 'میں', 'کیا', 'کر', 'جا']"
کاش تو اچھا انسان آور اچھا جج ہو تا,1,"['کاش', 'تو', 'اچھا', 'انسان', 'آور', 'اچھا', 'جج', 'ہو', 'تا']","['کاش', 'اچھا', 'انسان', 'آور', 'اچھا', 'جج', 'تا']"
بلوچپدرم سلطان بودکی بات نہ کروتم خود اپنی ذات میں کیا ھووطن چھوڑ دیادین چھوڑ دیاخاندان و قبیلہ چھوڑ دیا عدالت  آئین و اسمبلی کو تسلیم نہیں کرتےنام کام بتاتے نہیںکیسے محب وطن ھو,1,"['بلوچپدرم', 'سلطان', 'بودکی', 'بات', 'نہ', 'کروتم', 'خود', 'اپنی', 'ذات', 'میں', 'کیا', 'ھووطن', 'چھوڑ', 'دیادین', 'چھوڑ', 'دیاخاندان', 'و', 'قبیلہ', 'چھوڑ', 'دیا', 'عدالت', 'آئین', 'و', 'اسمبلی', 'کو', 'تسلیم', 'نہیں', 'کرتےنام', 'کام', 'بتاتے', 'نہیںکیسے', 'محب', 'وطن', 'ھو']","['بلوچپدرم', 'سلطان', 'بودکی', 'بات', 'نہ', 'کروتم', 'خود', 'اپنی', 'ذات', 'میں', 'کیا', 'ھووطن', 'چھوڑ', 'دیادین', 'چھوڑ', 'دیاخاندان', 'قبیلہ', 'چھوڑ', 'دیا', 'عدالت', 'آئین', 'اسمبلی', 'کو', 'تسلیم', 'نہیں', 'کرتےنام', 'کام', 'بتاتے', 'نہیںکیسے', 'محب', 'وطن', 'ھو']"
یہ ملک فوجی رینجرز ائیرفورس پولیس جج اور وکیلوں کا ہےہم لوگ تو خوامخواہ اس میں,0,"['یہ', 'ملک', 'فوجی', 'رینجرز', 'ائیرفورس', 'پولیس', 'جج', 'اور', 'وکیلوں', 'کا', 'ہےہم', 'لوگ', 'تو', 'خوامخواہ', 'اس', 'میں']","['ملک', 'فوجی', 'رینجرز', 'ائیرفورس', 'پولیس', 'جج', 'وکیلوں', 'کا', 'ہےہم', 'خوامخواہ', 'اس', 'میں']"
آپ بھی کمال کرتے ہیںعدالت کا فیصلہ تو عام لوگوں کیلیے ہےسیاسی لیڈروں پر اس کا اطلاق نہیں ہوتا,0,"['آپ', 'بھی', 'کمال', 'کرتے', 'ہیںعدالت', 'کا', 'فیصلہ', 'تو', 'عام', 'لوگوں', 'کیلیے', 'ہےسیاسی', 'لیڈروں', 'پر', 'اس', 'کا', 'اطلاق', 'نہیں', 'ہوتا']","['آپ', 'بھی', 'کمال', 'ہیںعدالت', 'کا', 'فیصلہ', 'عام', 'کیلیے', 'ہےسیاسی', 'لیڈروں', 'اس', 'کا', 'اطلاق', 'نہیں', 'ہوتا']"
پاکستان کو برباد کرنے میں آدھا ہاتھ ہماری عدالتی نظام کا ہے جو امیر کے ناجائز کام کو پیسے کی خاطر وکلاء اسے جائز ثابت کروا دیتے ہیں۰,0,"['پاکستان', 'کو', 'برباد', 'کرنے', 'میں', 'آدھا', 'ہاتھ', 'ہماری', 'عدالتی', 'نظام', 'کا', 'ہے', 'جو', 'امیر', 'کے', 'ناجائز', 'کام', 'کو', 'پیسے', 'کی', 'خاطر', 'وکلاء', 'اسے', 'جائز', 'ثابت', 'کروا', 'دیتے', 'ہیں۰']","['پاکستان', 'کو', 'برباد', 'کرنے', 'میں', 'آدھا', 'ہاتھ', 'ہماری', 'عدالتی', 'نظام', 'کا', 'جو', 'امیر', 'ناجائز', 'کام', 'کو', 'پیسے', 'خاطر', 'وکلاء', 'اسے', 'جائز', 'ثابت', 'کروا', 'ہیں۰']"
باباجی لوہار ہائی کورٹ کے ریٹائرڈ جج تو نہیں تھے کہیں,0,"['باباجی', 'لوہار', 'ہائی', 'کورٹ', 'کے', 'ریٹائرڈ', 'جج', 'تو', 'نہیں', 'تھے', 'کہیں']","['باباجی', 'لوہار', 'ہائی', 'کورٹ', 'ریٹائرڈ', 'جج', 'نہیں']"
کراچی میں آج کل تین سے چار گھنٹے بلکہ بہت زیادہ چھ گھنٹے میں میں کورونا ٹیسٹ کا کاغذ مل جاتا ہےکیا وجہ ہے تمہارا لیڈر جس سے تم لفافے لیتے اور دو دن سے زیادہ ہو گیا کوئی ٹیسٹ منظر عام پر نہیں آرہا ہے کمرے میں بند ہونے سے عوام کو مروا رہے ہو تم لوگ اللہ کی عدالت میں ذلیل ہو جاؤ گے,1,"['کراچی', 'میں', 'آج', 'کل', 'تین', 'سے', 'چار', 'گھنٹے', 'بلکہ', 'بہت', 'زیادہ', 'چھ', 'گھنٹے', 'میں', 'میں', 'کورونا', 'ٹیسٹ', 'کا', 'کاغذ', 'مل', 'جاتا', 'ہےکیا', 'وجہ', 'ہے', 'تمہارا', 'لیڈر', 'جس', 'سے', 'تم', 'لفافے', 'لیتے', 'اور', 'دو', 'دن', 'سے', 'زیادہ', 'ہو', 'گیا', 'کوئی', 'ٹیسٹ', 'منظر', 'عام', 'پر', 'نہیں', 'آرہا', 'ہے', 'کمرے', 'میں', 'بند', 'ہونے', 'سے', 'عوام', 'کو', 'مروا', 'رہے', 'ہو', 'تم', 'لوگ', 'اللہ', 'کی', 'عدالت', 'میں', 'ذلیل', 'ہو', 'جاؤ', 'گے']","['کراچی', 'میں', 'تین', 'سے', 'چار', 'گھنٹے', 'بلکہ', 'بہت', 'زیادہ', 'چھ', 'گھنٹے', 'میں', 'میں', 'کورونا', 'ٹیسٹ', 'کا', 'کاغذ', 'مل', 'جاتا', 'ہےکیا', 'وجہ', 'تمہارا', 'لیڈر', 'جس', 'سے', 'تم', 'لفافے', 'لیتے', 'دن', 'سے', 'زیادہ', 'گیا', 'ٹیسٹ', 'منظر', 'عام', 'نہیں', 'آرہا', 'کمرے', 'میں', 'بند', 'ہونے', 'سے', 'عوام', 'کو', 'مروا', 'تم', 'اللہ', 'عدالت', 'میں', 'ذلیل', 'جاؤ']"
اور اگر نواز فیمبلی کسی اذاد عدلیہ کے سامنے ھوتی تو کب کی فاہرنگ اسکواڈ کے سامنے ھوتے,0,"['اور', 'اگر', 'نواز', 'فیمبلی', 'کسی', 'اذاد', 'عدلیہ', 'کے', 'سامنے', 'ھوتی', 'تو', 'کب', 'کی', 'فاہرنگ', 'اسکواڈ', 'کے', 'سامنے', 'ھوتے']","['اگر', 'نواز', 'فیمبلی', 'کسی', 'اذاد', 'عدلیہ', 'سامنے', 'ھوتی', 'فاہرنگ', 'اسکواڈ', 'سامنے', 'ھوتے']"
